Financial  Year,Payee_Name,Part_Postcode,Town,Parliamentary Constituency,County Council,Scheme,scheme detail,activity level,Amount
21/22,Abdullah Knight,DG2 , None , Dumfries and Galloway , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,7370
21/22,Abdullah Knight,DG2 , None , Dumfries and Galloway , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,14685
21/22,Abdullah Knight,DG2 , None , Dumfries and Galloway , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Low,25125
21/22,Adan Brandt,YO26 , Little Ouseburn , Selby and Ainsty , North Yorkshire,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Low,2999
21/22,Adan Brandt,YO26 , Little Ouseburn , Selby and Ainsty , North Yorkshire,Sustainable Farming Incentive pilot,On farm woodland,High,34774
21/22,Adan Brandt,YO26 , Little Ouseburn , Selby and Ainsty , North Yorkshire,Sustainable Farming Incentive pilot,Improved Grassland,Low,22725
21/22,Adan Brandt,YO26 , Little Ouseburn , Selby and Ainsty , North Yorkshire,Sustainable Farming Incentive pilot,Low and no input Grassland,Medium,34501
21/22,Ainsley Hanna,GU31 , Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,21287
21/22,Ainsley Hanna,GU31 , Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,6272
21/22,Ainsley Hanna,GU31 , Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Low and no input Grassland,Medium,31568
21/22,Ainsley Hanna,GU31 , Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Improved Grassland,High,19576
21/22,Ainsley Hanna,GU31 , Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Hedgerow,Low,24545
21/22,Ainsley Hanna,GU31 , Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Low and no input Grassland,Low,16150
21/22,Ainsley Hanna,GU31 , Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,On farm woodland,High,13024
21/22,Alaina Livingston,EC1R , Islington,   Islington South and Finsbury , None,Farming Equipment and Technology Fund,Horticulture,N/a,15911
21/22,Alaina Livingston,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Low and no input Grassland,Medium,18719
21/22,Alaina Livingston,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Hedgerow,Low,32605
21/22,Alaina Livingston,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Low,15058
21/22,Alaina Livingston,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,On farm woodland,Medium,20435
